/Users/nithin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-11 12:52:38,109 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:38,380 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:38,473 - INFO - Stored 542 OHLC records
2026-02-11 12:52:38,560 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:38,563 - INFO - Updated sync status for ABFRL
2026-02-11 12:52:38,563 - INFO - Successfully synced 542 records for ABFRL
2026-02-11 12:52:39,568 - INFO - Processing 10/506: ABLBL
2026-02-11 12:52:39,568 - INFO - Fetching data for ABLBL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:39,568 - INFO - Fetching NSE data for ABLBL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:39,952 - ERROR - NSE API returned status 503
2026-02-11 12:52:39,952 - INFO - Falling back to Yahoo Finance for ABLBL
2026-02-11 12:52:39,953 - INFO - Fetching Yahoo Finance data for ABLBL.NS
2026-02-11 12:52:40,330 - INFO - Successfully fetched 158 records from Yahoo Finance
2026-02-11 12:52:40,521 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:40,523 - INFO - Stored 158 OHLC records
2026-02-11 12:52:40,609 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:40,610 - INFO - Updated sync status for ABLBL
